"Barcode
,Empty,1,Lys-UDCA (A),520.755,C30H52N2O5,N[C@@H](CCCCNC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@H](C[C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O.NCCCC[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@@]4(C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[H])=O,,,,,
,Almost Empty,2,Lys-UDCA (B),520.755,,,,,,,
,Almost Empty,2,Met-DCA,523.773,C29H49NO5S,CSCC[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O,1 Primary amino (Met),,,,
,Almost Empty,2,Met-HDCA,523.773,C29H49NO5S,CSCC[C@H](NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])C[C@H](O)C4C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O)C(O)=O,,,,,
,Almost Empty,2,Met-UDCA,523.773,C29H49NO5S,CSCC[C@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@H](C[C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O,,,,,
,Almost Empty,2,Orn-CA (A),522.727,C29H50N2O6,O=C(O)[C@H](CCCN)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O.O=C([C@@H](N)CCCNC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@@H](C[C@@]4(C[C@@H](CC[C@@]4([C@]3(C[C@@H]([C@]12C)O)[H])C)O)[H])O)[H])[H])C)=O)O,"2 Primary aminos (Orn)
= 2 conjugations ",,,,
,Almost Empty,2,Orn-CA (B),522.727,,,,,,,
,Almost Empty,2,Phe-CA,555.756,C33H49NO6,O=C(O)[C@H](CC1=CC=CC=C1)NC(CC[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])[C@H](O)C[C@]5([H])C[C@H](O)CC[C@]5(C)[C@@]4([H])C[C@H](O)[C@]23C)=O,1 Primary amino (Phe),,,,
,Empty,1,Phe-CDCA,539.757,C33H49NO5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CC5=CC=CC=C5)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,,,,,
,Empty,1,Phe-HDCA,539.757,C33H49NO5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CC5=CC=CC=C5)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])C[C@H](O)[C@]2([H])C1,,,,,
,Almost Empty,2,Phe-UDCA,539.757,C33H49NO5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(N[C@@H](CC5=CC=CC=C5)C(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@]2([H])C1,,,,,
,Almost Empty,2,Ser-CA,495.657,C27H45NO7,O=C(O)[C@H](CO)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O,1 Primary amino (Ser),,,,
,Empty,1,Trp-CA,594.793,C35H50N2O6,O=C(O)[C@H](CC1=CNC2=CC=CC=C12)NC(CC[C@@H](C)[C@H]3CC[C@@]4([H])[C@]5([H])[C@H](O)C[C@]6([H])C[C@H](O)CC[C@]6(C)[C@@]5([H])C[C@H](O)[C@]34C)=O,1 Primary amino (Ser),,,,
,Almost Empty,2,Trp-CDCA,578.794,C35H50N2O5,O=C(O)[C@H](CC1=CNC2=CC=CC=C12)NC(CC[C@@H](C)[C@H]3CC[C@@]4([H])[C@]5([H])[C@H](O)C[C@]6([H])C[C@H](O)CC[C@]6(C)[C@@]5([H])CC[C@]34C)=O,,,,,
,Almost Empty,2,Trp-DCA,578.794,C35H50N2O5,O=C(O)[C@H](CC1=CNC2=CC=CC=C12)NC(CC[C@@H](C)[C@H]3CC[C@@]4([H])[C@]5([H])CC[C@]6([H])C[C@H](O)CC[C@]6(C)[C@@]5([H])C[C@H](O)[C@]34C)=O,,,,,
,Almost Empty,2,Trp-HDCA (1),578.794,C35H50N2O5,O=C([C@@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3(C[C@H](O)[C@@]4(C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)[H])[H])[H])C)=O)CC5=CNC6=CC=CC=C56)O,,,,,
,Almost Empty,2,Trp-HDCA (2),578.794,,,,,,,
,Almost Empty,2,Trp-HDCA (3),578.794,,,,,,,
,Almost Empty,2,Tyr-CA,571.755,C33H49NO7,O=C(O)[C@H](CC1=CC=C(C=C1)O)NC(CC[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])[C@H](O)C[C@]5([H])C[C@H](O)CC[C@]5(C)[C@@]4([H])C[C@H](O)[C@]23C)=O,1 Primary amino (Tyr),,,,
,Empty,1,Tyr-CDCA,555.756,C33H49NO6,O=C(O)[C@H](CC1=CC=C(C=C1)O)NC(CC[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])[C@H](O)C[C@]5([H])C[C@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C)=O,,,,,
,Almost Empty,2,Tyr-DCA,555.756,C33H49NO6,O=C(O)[C@H](CC1=CC=C(C=C1)O)NC(CC[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@]5([H])C[C@H](O)CC[C@]5(C)[C@@]4([H])C[C@H](O)[C@]23C)=O,,,,,
,Almost Empty,2,Tyr-HDCA,555.756,C33H49NO6,O=C(O)[C@H](CC1=CC=C(C=C1)O)NC(CC[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])C[C@H](O)[C@]5([H])C[C@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C)=O,,,,,
,Almost Empty,2,Tyr-UDCA,555.756,C33H49NO6,O=C(O)[C@H](CC1=CC=C(C=C1)O)NC(CC[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])[C@@H](O)C[C@]5([H])C[C@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]23C)=O,,,,,
,,,,,,,,,,,
,Unconjugated BAs from Lee,,,,,,,,,,
,Alt. Names/Notes,Name,,MW (g/mol),Chemical Formula,SMILES,Comments,Key,,,
,3-Epi-LCA w/ alkene on C5-C6,"3b,D5",,374.565,C24H38O3,O[C@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC=C2C1,Work out MW without sodium for Na salts,"Blue text = Added formula
Bold text = double checked w/ChemDraw",,,
,Sodium lithocholate,3a sodium salt (LCA),,375.574,C24H39NaO3,O[C@@H]1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3(CC[C@]2([H])C1)[H])[H])[C@@H](CCC([O-])=O)C)C)[H])C,"MW with sodium:
398.56276928335","Light Blue highlight: 
Sodium salts, has separate MW when dissolved in solution (Na not part of MW&SMILES)",,,
,"Chenodeoxycholic acid (3a,7a)","3a,7a (CDCA)",,392.580,C24H40O4,O[C@@H]1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3([C@H](O)C[C@]2([H])C1)[H])[H])[C@@H](CCC(O)=O)C)C)[H])C,,"Yellow highlight: 
Confusing names, clarify with Dr. Lee",,,
,Sodium chenodeoxycholate,"3a,7a sodium salt (CDCA)",,391.573,C24H39NaO4,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC([O-])=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]2(C1)[H],"MW with sodium:
414.5617692834","Pink highlight: 
Possible duplicates (Assume both compounds are 5beta-cholanic acids)",,,
,Sodium ursodeoxycholate,"3a,7b sodium salt (UDCA)",,391.573,C24H39NaO4,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC([O-])=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]2(C1)[H],"MW with sodium:
414.5617692834",,,,
,Sodium deoxycholate,"3a,12a sodium salt (DCA)",,391.573,C24H39NaO4,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC([O-])=O)CC[C@@]4([H])[C@]3([H])CC[C@@]2(C1)[H],"MW with sodium:
414.5617692834",375.5735486,,,
,"3a,12a diacetoxymethyl DCA, has ester instead of carboxylate","3a,12a diacetate methyl DCA",,518.735,C31H50O6,[H][C@@]12C[C@@H](CC[C@@]1([C@]3(C[C@@H]([C@@]4([C@H](CC[C@]4([C@@]3(CC2)[H])[H])[C@@H](CCC(OC)=O)C)C)COC(C)=O)[H])C)COC(C)=O,"Listed formula was wrong
Can't find on pubchem",,,,
,Amine replaces COOH group of LCA,Cholamine lithacholyl,,361.614,C24H43NO,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCCN)CC[C@@]4([H])[C@]3([H])CC[C@]2([H])C1,,,,,
,3-keto/oxo CDCA,"3k,7a",,390.564,C24H38O4,O=C1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,7-keto/oxo LCA,"3a,7k",,390.564,C24H38O4,O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O,,,,,
,3-epi-DCA,"3b,12a",,392.580,C24H40O4,O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1,,,,,
,12-keto/oxo LCA,"3a,12k",,390.564,C24H38O4,O[C@@H](C[C@@](CC[C@@]1([H])[C@]2([H])CC[C@@H]([C@]23C)[C@H](C)CCC(O)=O)4[H])CC[C@]4(C)[C@@]1([H])CC3=O,,,,,
,3-keto/oxo DCA,"3k,12a",,390.564,C24H38O4,O=C1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1,,,,,
,Ursocholic acid,Ursocholate ,,408.579,C24H40O5,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1,Duplicate pair 1,,,,
,Ursocholic acid,"3a,7b,12a",,408.579,,,,,,,
,Murideoxycholic acid,"3a,6b OH2 cholanic acid",,392.580,C24H40O4,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C[C@@H](O)[C@@]([H])2C1,OH2 probably means dihydroxy,,,,
,Hyodeoxycholic acid,"3a,6a (HDCA)",,392.580,C24H40O4,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C[C@H](O)[C@@]([H])2C1,,,,,
,Sodium Hyodeoxycholate ,"3a,6a sodium salt (HDCA)",,391.573,C24H39NaO4,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC([O-])=O)CC[C@@]4([H])[C@]3([H])C[C@H](O)[C@@]2(C1)[H],"MW with sodium:
414.5617692834",,,,
,A conjugated BA,UDC- aminoethylphosponic acid (-),,499.629,C26H46NO6P,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NCCP(O)(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1,2-aminoethylphosphonic acid conjugates to UDCA,,,,
,12keto/oxo UDCA,"3a,7b,12k",,406.563,C24H38O5,O[C@@H](C[C@@](C[C@H](O)[C@@]1([H])[C@]2([H])CC[C@@H]([C@]23C)[C@H](C)CCC(O)=O)4[H])CC[C@]4(C)[C@@]1([H])CC3=O,,,,,
,"7,12 dioxo/diketo LCA","3a,7k,12k",,404.547,C24H36O5,O[C@@H](C[C@@](CC([C@@]1([H])[C@]2([H])CC[C@@H]([C@]23C)[C@H](C)CCC(O)=O)=O)4[H])CC[C@]4(C)[C@@]1([H])CC3=O,,,,,
,3-epi-CA,"3b,7a,12a",,408.579,C24H40O5,O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,Avicholic acid,"3a,7a,16a",,408.579,C24H40O5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)[C@H](O)C[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,Lagocholic acid methyl ester,3a7a12b methyl ester,,422.606,C25H42O5,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(OC)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,,"3a,7b,12b",,408.579,C24H40O5,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1,,,,,
,Hyocholic/γ-muricholic acid,"3a,6a,7a ",,408.579,C24H40O5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)[C@H](O)[C@@]([H])2C1,,,,,
,alpha-muricholic acid,"3a,6b,7a ",,408.579,C24H40O5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)[C@@H](O)[C@@]([H])2C1,,,,,
,beta-muricholic acid,"3a,6b,7b ",,408.579,C24H40O5,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)[C@@H](O)[C@@]([H])2C1,Duplicate pair 2,,,,
,"3a,6b,7b trihydroxy",b-muricholic acid,,408.579,,,,,,,
,IsoUrsocholic acid,"3b,7b,12a",,408.579,C24H40O5,O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1,,,,,
,Lagocholic acid,"3a,7a,12b",,408.579,C24H40O5,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,12-epi-DCA,"3a,12b",,392.580,C24H40O4,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1,Duplicate pair 3,,,,
,Lagodeoxycholic acid,"3a,12b (C24, 5b COOH)",,392.580,,,,,,,
,"3,12-epi-DCA","3b,12b",,392.580,C24H40O4,O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1,,,,,
,3-epi-CDCA,"3b,7a",,392.580,C24H40O4,O[C@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,,,,,
,3-epi-DCA,"3b,12a",,392.580,C24H40O4,O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1,,,,,
,"3a,23b dihydroxy","3a,23R",,392.580,C24H40O4,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)C[C@@H](O)C(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1,,,,,
,UDCA w/alkene C22-C23,"3a,7b(22,23 -CH2-) - 2vials",,420.634,C24H38O4,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)/C=C/C(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C2,,,,,
,,3a14a,,392.580,C24H40O4,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4(O)[C@]3([H])CC[C@@]([H])2C1,Can't find on PubChem,,,,
,Conjugated BAs from Lee,,,,,,,,,,
